country,female_labor,fertility_rate,gdp_pc,unemployment_rate
Afghanistan,21.25,4.47,568.83,11.06
Albania,42.19,1.62,4433.74,12.3
Algeria,20.13,3.02,4158.33,11.89
Angola,50.2,5.52,3595.11,7.0
Argentina,43.0,2.26,13112.4,9.22
Armenia,44.23,1.76,4051.38,18.97
Australia,46.5,1.74,58561.19,5.3
Austria,46.43,1.47,46269.48,4.85
Azerbaijan,48.76,1.73,5261.74,4.9
"Bahamas, The",48.18,1.75,32727.13,10.0
Bahrain,20.49,1.99,21735.37,1.51
Bangladesh,30.36,2.04,1498.39,4.29
Barbados,49.35,1.62,16838.73,10.0
Belarus,49.04,1.45,6136.84,4.76
Belgium,46.21,1.62,42364.01,5.95
Belize,38.71,2.31,4707.54,6.52
Benin,49.17,4.84,1155.31,2.37
Bhutan,40.91,1.98,3097.15,2.3
Bolivia,44.19,2.73,3291.16,3.52
Bosnia and Herzegovina,39.2,1.26,5384.52,18.4
Botswana,48.83,2.87,7174.26,17.32
Brazil,43.58,1.73,8582.35,12.33
Brunei Darussalam,42.08,1.85,29802.78,8.7
Bulgaria,46.17,1.56,7986.76,5.21
Burkina Faso,44.7,5.19,719.5,4.7
Burundi,51.89,5.41,281.97,1.45
Cabo Verde,43.98,2.27,3333.07,12.17
Cambodia,48.96,2.5,1363.92,0.13
Cameroon,47.07,4.57,1383.1,3.36
Canada,47.36,1.5,44765.5,5.83
Central African Republic,45.65,4.72,412.99,4.09
Chad,45.54,5.75,658.69,1.89
Chile,42.22,1.65,13901.02,7.23
China,43.72,1.69,9688.47,4.3
Colombia,42.94,1.81,6271.88,9.11
Comoros,37.47,4.2,1287.65,7.78
"Congo, Dem. Rep.",48.41,5.92,506.96,4.18
"Congo, Rep.",49.03,4.43,1841.49,9.66
Costa Rica,38.89,1.75,12505.37,9.63
Cote d'Ivoire,40.78,4.65,2247.78,3.21
Croatia,46.45,1.47,13334.6,8.43
Cuba,38.96,1.62,8040.99,1.7
Cyprus,46.02,1.33,31977.81,8.37
Czech Republic,44.7,1.71,19685.49,2.24
Denmark,47.16,1.73,56563.49,5.13
Djibouti,39.75,2.73,3088.58,11.06
Dominican Republic,39.94,2.35,7997.76,5.86
Ecuador,40.83,2.43,5952.22,3.53
"Egypt, Arab Rep.",20.56,3.33,3831.2,9.82
El Salvador,41.86,2.04,3919.81,4.01
